module	applied_tier	provenance	frozen_proposal_tier	rationale
NumStability.Algorithms.Underdetermined.Higham21SNEEnvelopeTransfer	source	new		numbered/book-specific ownership: title 'SNE envelope transfer', 18 source-named declaration(s) of 18
NumStability.Algorithms.Underdetermined.Higham21SNEForward	source	new		numbered/book-specific ownership: title '', 9 source-named declaration(s) of 9
NumStability.Algorithms.Underdetermined.Higham21SNEQRMajorant	source	new		numbered/book-specific ownership: title 'QR perturbation action without an aggregate Gram envelope', 6 source-named declaration(s) of 6
NumStability.Algorithms.Underdetermined.Higham21SNERemainderBounds	source	new		numbered/book-specific ownership: title '', 9 source-named declaration(s) of 9
NumStability.Algorithms.Underdetermined.Higham21SNESigned	source	new		numbered/book-specific ownership: title 'Signed SNE factorwise identities', 20 source-named declaration(s) of 20
NumStability.Algorithms.Underdetermined.Higham21SNEUniform	source	new		numbered/book-specific ownership: title 'Fixed-radius uniform SNE closure', 43 source-named declaration(s) of 43
NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	source	new		numbered/book-specific ownership: title 'The printed Theorem 21.4 assumes full row rank and a condition of the ', 12 source-named declaration(s) of 12
NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	source	new		numbered/book-specific ownership: title '', 402 source-named declaration(s) of 449
NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	source	new		numbered/book-specific ownership: title '', 15 source-named declaration(s) of 41
NumStability.Algorithms.WilkinsonAttainability	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Wilkinson's hinted family for Chapter 4, Problem 4.2', 0 source-marked declarations); generic helpers are scoped to the
NumStability.Analysis.AccuracyTests	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Accuracy Test Baselines', 0 source-marked declarations); generic helpers are scoped to the same source result rather th
NumStability.Analysis.BergerGeneral	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.BergerGeneral', 0 source-named declarations of 9; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.BergerInequality	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.BergerInequality', 0 source-named declarations of 0; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.BergerResolvent	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.BergerResolvent', 0 source-named declarations of 9; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.CStarMatrixBridge	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.CStarMatrixExpectation	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.CStarMatrixTrace	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.DunfordResidue	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.HenriciExtremal	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.HenriciSharpConstant	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.HenriciSharpConstantExact	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.HighamChapter2ElementaryFunctions	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2: a correctly rounded elementary-function range violation', 11 source-marked declarations); generic hel
NumStability.Analysis.HighamChapter2FmaDiscriminant	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2: an FMA discriminant sign counterexample', 16 source-marked declarations); generic helpers are scoped 
NumStability.Analysis.HighamChapter2Lindemann	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2: Lindemann and finite tablemaker separation', 5 source-marked declarations); generic helpers are scope
NumStability.Analysis.InverseOpNorm2	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.JordanNormalForm	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.LiebTrace	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersBaiDemmelGu	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersBinomialBound	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.MatrixPowersBinomialBound', 0 source-named declarations of 17; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.MatrixPowersGautschi	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersHenrici	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersHenriciNormal	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.MatrixPowersHenriciNormal', 0 source-named declarations of 2; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.MatrixPowersKreiss	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersKreissSpijker	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersLaszlo	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersLp185Primary	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.MatrixPowersSchur	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.MatrixPowersSchur', 0 source-named declarations of 9; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.MatrixPowersSpijkerClosure	source	new		numbered/book-specific ownership: title 'Analysis.MatrixPowersSpijkerClosure', 2 source-named declaration(s) of 4
NumStability.Analysis.MatrixPowersSpijkerPlanar	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.MatrixPowersSpijkerPlanar', 0 source-named declarations of 5; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.MatrixPowersSpijkerPlanarAnalysis', 0 source-named declarations of 17; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.MatrixPowersSpijkerRational	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.NilpotentJordanChain	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.NumericalRadius	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.NumericalRadius', 0 source-named declarations of 0; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.OperatorLog	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.Problem2_10	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.10', 1705 source-marked declarations); generic helpers are scoped to the same source result
NumStability.Analysis.Problem2_12	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.12', 16 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Analysis.Problem2_13	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.13', 114 source-marked declarations); generic helpers are scoped to the same source result 
NumStability.Analysis.Problem2_14	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.14', 22 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Analysis.Problem2_17	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.17', 11 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Analysis.Problem2_20	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.20', 31 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Analysis.Problem2_24	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.24', 214 source-marked declarations); generic helpers are scoped to the same source result 
NumStability.Analysis.Problem2_27	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.27', 26 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Analysis.Problem2_3	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 2, Problem 2.3', 78 source-marked declarations); generic helpers are scoped to the same source result ra
NumStability.Analysis.PseudospectralLowerBound	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.PseudospectralPowerBound	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.PseudospectralResolvent	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.PseudospectralResolvent', 0 source-named declarations of 0; historical filenames and citations alone do not make declarations source correspondence
NumStability.Analysis.RealInvariantSubspace	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.RealQuasiSchur	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.RealSchurTriangulation	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.ResolventFunctionalCalculus	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.SchurTriangulation	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.SpijkerProjectionIntegral	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Analysis.SylvesterSchurExistence	reusable	new		source-neutral mathematical/algorithmic surface: title 'Analysis.SylvesterSchurExistence', 0 source-named declarations of 30; historical filenames and citations alone do not make declarations source correspondence
NumStability.HDP.Scalar.BerryEsseen	reusable	new		source-neutral surface: module docstring states 'Reusable analytic and distribution-function foundations for quantitative central-limit estimates'; 2 generic-named declarations; sibling NumStability.HDP.Scalar.CentralLimit is already tiered reusable
